id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,acc,auc,balacc,logloss,models_ensemble_count,acc_final
christine,christine,H2OAutoML,263s,0,binary,0.802068,auc,local,3.44.0.3,,2.1.7,2024-01-08T01:23:42,283,264.3,0.5,16,1498512326,0.695572,0.802068,0.699169,0.540921,,69.5572
christine,christine,mljarsupervised,263s,0,binary,0.795079,auc,local,1.1.1,,2.1.7,2024-01-08T01:30:17,388.6,376,0.5,4,1566430723,0.721402,0.795079,0.719944,0.549799,,72.1402
christine,christine,constantpredictor,263s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-08T01:30:25,1,0.0005,0.0001,1,1859780841,0.48893,0.5,0.5,0.693402,,48.893
christine,christine,RandomForest,263s,0,binary,0.794689,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T01:31:17,46.3,39.2,0.8,2000,81906803,0.715867,0.794689,0.715346,0.557394,,71.5867
christine,christine,TPOT,263s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-08T01:40:18,534.5,,,,1929448794,,,,,,0
dilbert,dilbert,AutoGluon,383s,0,multiclass,-0.0269497,neg_logloss,local,1.0.0,,2.1.7,2024-01-08T01:47:07,400.9,392.4,0.7,6,1308533606,0.991,,0.991051,0.0269497,3,99.1
dilbert,dilbert,H2OAutoML,383s,0,multiclass,-0.0836316,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T01:54:05,410.1,389.6,0.3,8,57111829,0.972333,,0.972463,0.0836316,,97.2333
dilbert,dilbert,mljarsupervised,383s,0,multiclass,-0.36614,neg_logloss,local,1.1.1,,2.1.7,2024-01-08T02:01:02,409.1,395.8,1.2,4,824349762,0.922667,,0.923414,0.36614,,92.2667
dilbert,dilbert,constantpredictor,383s,0,multiclass,-1.60995,neg_logloss,local,1.2.2,,2.1.7,2024-01-08T02:01:12,1.9,0.0008,0.0001,1,226880848,0.194333,,0.2,1.60995,,19.4333
dilbert,dilbert,RandomForest,383s,0,multiclass,-0.366443,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:03:12,112.5,102.7,0.8,2000,997496672,0.972333,,0.972636,0.366443,,97.2333
dilbert,dilbert,TPOT,383s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-08T02:06:03,162.8,,,,2082493660,,,,,,0
kc1,kc1,AutoGluon,82s,0,binary,0.823846,auc,local,1.0.0,,2.1.7,2024-01-08T02:06:47,34.7,23.8,0.3,14,610967819,0.85624,0.823846,0.597805,0.337621,4,85.624
kc1,kc1,H2OAutoML,82s,0,binary,0.800572,auc,local,3.44.0.3,,2.1.7,2024-01-08T02:08:30,98.6,84.5,0.3,58,1735963964,0.78673,0.800572,0.678386,0.355914,,78.673
kc1,kc1,mljarsupervised,82s,0,binary,0.804719,auc,local,1.1.1,,2.1.7,2024-01-08T02:09:50,76,57.3,0.09,7,1816424310,0.789889,0.804719,0.692448,0.350199,,78.9889
kc1,kc1,constantpredictor,82s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-08T02:09:54,0.05,0.0004,0.00008,1,1854632817,0.842022,0.5,0.5,0.436392,,84.2022
kc1,kc1,RandomForest,82s,0,binary,0.823518,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:10:14,15,8.6,0.8,2000,879565126,0.85624,0.823518,0.634362,0.442658,,85.624
kc1,kc1,TPOT,82s,0,binary,0.808302,auc,local,0.12.1,,2.1.7,2024-01-08T02:12:04,105.3,96.7,0.01,471,869340230,0.849921,0.808302,0.581867,0.350358,,84.9921
jannis,jannis,AutoGluon,132s,0,multiclass,-0.671211,neg_logloss,local,1.0.0,,2.1.7,2024-01-08T02:14:28,139.5,134.1,0.8,11,1566577230,0.723408,,0.549032,0.671211,5,72.3408
jannis,jannis,H2OAutoML,132s,0,multiclass,-0.83549,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T02:17:02,148.8,134.1,0.3,11,1281644190,0.700119,,0.512508,0.83549,,70.0119
jannis,jannis,mljarsupervised,132s,0,multiclass,-0.693267,neg_logloss,local,1.1.1,,2.1.7,2024-01-08T02:19:26,139.2,129.9,0.5,6,385318107,0.71246,,0.528868,0.693267,,71.246
jannis,jannis,constantpredictor,132s,0,multiclass,-1.11111,neg_logloss,local,1.2.2,,2.1.7,2024-01-08T02:19:31,0.5,0.02,0.0002,1,1369656716,0.456568,,0.25,1.11111,,45.6568
jannis,jannis,RandomForest,132s,0,multiclass,-0.734707,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:21:39,122.6,118.3,0.9,1370,857685791,0.704419,,0.513845,0.734707,,70.4419
jannis,jannis,TPOT,132s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-08T02:26:15,271.7,,,,154010626,,,,,,0
blood-transfusion-service-center,blood-transfusion-service-center,AutoGluon,72s,0,binary,0.721566,auc,local,1.0.0,,2.1.7,2024-01-08T02:26:34,14.2,11.6,0.01,14,1626927288,0.737778,0.721566,0.508333,0.525131,3,73.7778
blood-transfusion-service-center,blood-transfusion-service-center,H2OAutoML,72s,0,binary,0.752576,auc,local,3.44.0.3,,2.1.7,2024-01-08T02:28:00,81.8,73,0.3,62,1973891255,0.76,0.752576,0.682576,0.506256,,76
blood-transfusion-service-center,blood-transfusion-service-center,mljarsupervised,72s,0,binary,0.753687,auc,local,1.1.1,,2.1.7,2024-01-08T02:29:03,58.8,50.7,0.03,7,993397126,0.746667,0.753687,0.64697,0.505216,,74.6667
blood-transfusion-service-center,blood-transfusion-service-center,constantpredictor,72s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-08T02:29:08,0.03,0.0004,0.0001,1,913152289,0.733333,0.5,0.5,0.584548,,73.3333
blood-transfusion-service-center,blood-transfusion-service-center,RandomForest,72s,0,binary,0.668333,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:29:22,9.9,7.9,0.5,2000,2141120638,0.728889,0.668333,0.581818,0.691468,,72.8889
