dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Diabetes,CatDB,,llama3-70b-8192,Auto,binary,False,0,0,Yes,0.0037360191345214,37.35230731964111,547.9864549636841,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Diabetes,CatDB,,llama3-70b-8192,Auto,binary,False,1,0,Yes,0.0037360191345214,27.950331449508667,471.4531452655792,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Diabetes,CatDB,,llama3-70b-8192,Auto,binary,False,2,0,Yes,0.0037360191345214,19.59340453147888,530.9381856918335,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Diabetes,CatDB,,llama3-70b-8192,Auto,binary,False,3,0,Yes,0.0037360191345214,27.60684084892273,539.5143735408783,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Diabetes,CatDB,,llama3-70b-8192,Auto,binary,False,4,0,Yes,0.0037360191345214,26.84637975692749,551.1748869419098,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Tic-Tac-Toe,CatDB,,llama3-70b-8192,Auto,binary,True,0,2,Yes,0.0032494068145751,32.09386372566223,79.89268350601196,0.3442857265472412,0.958217270194986,0.9684873949579832,-1.0,-1,-1,0.8583333333333333,0.8924050632911392,-1.0,-1,-1
Tic-Tac-Toe,CatDB,,llama3-70b-8192,Auto,binary,True,1,3,Yes,0.0032494068145751,30.798796892166138,104.38974928855896,0.6334080696105957,1.0,1.0,-1.0,-1,-1,0.9833333333333332,0.9869281045751634,-1.0,-1,-1
Tic-Tac-Toe,CatDB,,llama3-70b-8192,Auto,binary,False,2,0,Yes,0.0032494068145751,26.697494983673096,597.8810722827911,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Tic-Tac-Toe,CatDB,,llama3-70b-8192,Auto,binary,True,3,2,Yes,0.0032494068145751,27.654707670211792,75.74060320854187,0.3422150611877441,0.958217270194986,0.968944099378882,-1.0,-1,-1,0.8375,0.8769716088328076,-1.0,-1,-1
Tic-Tac-Toe,CatDB,,llama3-70b-8192,Auto,binary,True,4,2,Yes,0.0032494068145751,30.08195209503174,76.48446035385132,0.3544971942901611,0.958217270194986,0.96875,-1.0,-1,-1,0.8541666666666666,0.8888888888888888,-1.0,-1,-1
Eucalyptus,CatDB,,llama3-70b-8192,Auto,multiclass,False,0,0,Yes,0.0306246280670166,42.37131595611572,607.8889255523682,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Eucalyptus,CatDB,,llama3-70b-8192,Auto,multiclass,False,1,0,Yes,0.0306246280670166,32.119802474975586,595.0617537498474,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Eucalyptus,CatDB,,llama3-70b-8192,Auto,multiclass,False,2,0,Yes,0.0306246280670166,32.409080266952515,600.3182184696198,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Eucalyptus,CatDB,,llama3-70b-8192,Auto,multiclass,False,3,0,Yes,0.0306246280670166,32.72390913963318,527.8833703994751,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Eucalyptus,CatDB,,llama3-70b-8192,Auto,multiclass,False,4,0,Yes,0.0306246280670166,26.26243138313293,648.5370287895203,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CatDB,,llama3-70b-8192,Auto,binary,False,0,0,Yes,0.0114805698394775,36.097734212875366,678.5885536670685,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CatDB,,llama3-70b-8192,Auto,binary,False,1,0,Yes,0.0114805698394775,35.224125623703,659.7575829029083,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CatDB,,llama3-70b-8192,Auto,binary,False,2,0,Yes,0.0114805698394775,37.9510235786438,660.638781785965,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CatDB,,llama3-70b-8192,Auto,binary,False,3,0,Yes,0.0114805698394775,33.18083953857422,567.9142518043518,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CatDB,,llama3-70b-8192,Auto,binary,False,4,0,Yes,0.0114805698394775,27.888858795166016,624.6927740573883,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CatDB,,llama3-70b-8192,Auto,binary,False,0,0,Yes,0.0028438568115234,62.07375979423523,608.3775644302368,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CatDB,,llama3-70b-8192,Auto,binary,False,1,0,Yes,0.0028438568115234,27.06147170066833,589.5872919559479,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CatDB,,llama3-70b-8192,Auto,binary,False,2,0,Yes,0.0028438568115234,28.205968856811523,466.4285755157471,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CatDB,,llama3-70b-8192,Auto,binary,False,3,0,Yes,0.0028438568115234,22.550143241882324,591.750629901886,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CatDB,,llama3-70b-8192,Auto,binary,False,4,0,Yes,0.0028438568115234,28.74563407897949,600.0182812213898,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Jungle-Chess,CatDB,,llama3-70b-8192,Auto,multiclass,True,0,2,Yes,0.0073230266571044,33.327813148498535,93.211119890213,0.2153952121734619,1.0,-1.0,2.2204460492503136e-16,-1,-1,1.0,-1.0,2.2204460492503136e-16,-1,-1
Jungle-Chess,CatDB,,llama3-70b-8192,Auto,multiclass,False,1,0,Yes,0.0073230266571044,33.76166868209839,721.2801692485809,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Jungle-Chess,CatDB,,llama3-70b-8192,Auto,multiclass,False,2,0,Yes,0.0073230266571044,32.76635479927063,685.1349618434906,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Jungle-Chess,CatDB,,llama3-70b-8192,Auto,multiclass,False,3,0,Yes,0.0073230266571044,32.571537017822266,530.9496674537659,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Jungle-Chess,CatDB,,llama3-70b-8192,Auto,multiclass,False,4,0,Yes,0.007323026657104492,26.18066906929016,485.3098986148834,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
